Program-Year-Block,Course,Component,Day,Start,End,Room,Instructor
IT-2B,GEC 6,GEC 6_LEC_IT-2B,Tuesday,08:00,09:00,LEC-008,TBA
IT-2C,GEC 6,GEC 6_LEC_IT-2C,Wednesday,08:00,09:00,LEC-011,TBA
IT-2C,GEC 6,GEC 6_LEC_IT-2C,Tuesday,15:00,16:00,LEC-009,TBA
IT-2C,GEC 6,GEC 6_LEC_IT-2C,Friday,08:00,09:00,LEC-006,TBA
IT-2A,GE Elec 2,GE Elec 2_LEC_IT-2A,Thursday,08:00,09:00,LEC-005,TBA
IT-2A,GE Elec 2,GE Elec 2_LEC_IT-2A,Friday,16:00,17:00,LEC-001,TBA
IT-2A,GE Elec 2,GE Elec 2_LEC_IT-2A,Friday,09:00,10:00,LEC-010,TBA
IT-2B,GE Elec 2,GE Elec 2_LEC_IT-2B,Friday,10:30,11:30,LEC-006,TBA
IT-2B,GE Elec 2,GE Elec 2_LEC_IT-2B,Tuesday,09:00,10:00,LEC-008,TBA
IT-2B,GE Elec 2,GE Elec 2_LEC_IT-2B,Wednesday,11:00,12:00,LEC-002,TBA
IT-2C,GE Elec 2,GE Elec 2_LEC_IT-2C,Monday,13:00,14:00,LEC-006,TBA
IT-2C,GE Elec 2,GE Elec 2_LEC_IT-2C,Friday,15:00,16:00,LEC-003,TBA
IT-2C,GE Elec 2,GE Elec 2_LEC_IT-2C,Monday,11:00,12:00,LAB-001,TBA
IT-2A,GE Elec 3,GE Elec 3_LEC_IT-2A,Monday,11:00,12:00,LAB-004,TBA
IT-2A,GE Elec 3,GE Elec 3_LEC_IT-2A,Monday,16:00,17:00,LAB-005,TBA
IT-2A,GE Elec 3,GE Elec 3_LEC_IT-2A,Wednesday,15:00,16:00,LEC-004,TBA
IT-2B,GE Elec 3,GE Elec 3_LEC_IT-2B,Tuesday,10:00,11:00,LEC-005,TBA
IT-2B,GE Elec 3,GE Elec 3_LEC_IT-2B,Thursday,11:00,12:00,LAB-005,TBA
IT-2B,GE Elec 3,GE Elec 3_LEC_IT-2B,Wednesday,08:00,09:00,LAB-004,TBA
IT-2C,GE Elec 3,GE Elec 3_LEC_IT-2C,Tuesday,11:00,12:00,LEC-010,TBA
