Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
IT 118,Internet of Things,08:00-09:00,W,AB-102,3,0,3,3,,,IT-3A
IT 118,Internet of Things,15:00-16:00,M,NB-303,3,0,3,3,,,IT-3A
IT 118,Internet of Things,11:00-12:00,F,EB-L1,3,0,3,3,,,IT-3A
IT 119,Data Scalability and Analytics,16:00-17:00,W,NB-301,3,0,3,3,,,IT-3A
IT 119,Data Scalability and Analytics,09:00-10:00,F,AB-201,3,0,3,3,,,IT-3A
IT 119,Data Scalability and Analytics,10:00-11:00,W,AB-101,3,0,3,3,,,IT-3A
GEC 9,Ang Buhay at mga Akda ni Rizal,09:00-10:00,M,NB-302,3,0,3,3,,,IT-3A
GEC 9,Ang Buhay at mga Akda ni Rizal,13:00-14:00,F,EB-L1,3,0,3,3,,,IT-3A
GEC 9,Ang Buhay at mga Akda ni Rizal,10:00-11:00,M,EB-L1,3,0,3,3,,,IT-3A
IT 114,Quantitative Methods (Modeling and Simulation),08:00-10:00,T,OB-L3,2,0,2,2,,,IT-3B
IT 115,Networking 1,14:00-16:00,M,NB-102,2,0,2,2,,,IT-3B
IT 116,Systems Analysis and Design,14:00-16:00,F,NB-103,2,0,2,2,,,IT-3B
IT 117,Systems Administration and Maintenance,14:00-16:00,TH,NB-202,2,0,2,2,,,IT-3B
IT 118,Internet of Things,16:00-17:00,M,AB-101,3,0,3,3,,,IT-3B
IT 118,Internet of Things,08:00-09:00,F,AB-201,3,0,3,3,,,IT-3B
IT 118,Internet of Things,09:00-10:00,W,AB-101,3,0,3,3,,,IT-3B
IT 119,Data Scalability and Analytics,14:00-15:00,W,EB-L1,3,0,3,3,,,IT-3B
IT 119,Data Scalability and Analytics,11:00-12:00,M,NB-301,3,0,3,3,,,IT-3B
IT 119,Data Scalability and Analytics,13:00-14:00,W,AB-201,3,0,3,3,,,IT-3B
GEC 9,Ang Buhay at mga Akda ni Rizal,10:00-11:00,W,LIB-CL,3,0,3,3,,,IT-3B
GEC 9,Ang Buhay at mga Akda ni Rizal,11:00-12:00,W,LIB-CL,3,0,3,3,,,IT-3B
GEC 9,Ang Buhay at mga Akda ni Rizal,10:00-11:00,F,AB-101,3,0,3,3,,,IT-3B
IT 114,Quantitative Methods (Modeling and Simulation),09:00-11:00,W,NB-101,2,0,2,2,,,IT-3C
IT 115,Networking 1,14:00-16:00,TH,OB-L1,2,0,2,2,,,IT-3C
IT 116,Systems Analysis and Design,15:00-17:00,F,NB-203,2,0,2,2,,,IT-3C
IT 117,Systems Administration and Maintenance,15:00-17:00,T,NB-201,2,0,2,2,,,IT-3C
IT 118,Internet of Things,15:00-16:00,W,EB-L1,3,0,3,3,,,IT-3C
IT 118,Internet of Things,08:00-09:00,F,AB-101,3,0,3,3,,,IT-3C
IT 118,Internet of Things,14:00-15:00,M,AB-201,3,0,3,3,,,IT-3C
IT 119,Data Scalability and Analytics,14:00-15:00,W,NB-303,3,0,3,3,,,IT-3C
IT 119,Data Scalability and Analytics,11:00-12:00,M,AB-201,3,0,3,3,,,IT-3C
IT 119,Data Scalability and Analytics,13:00-14:00,F,NB-301,3,0,3,3,,,IT-3C
GEC 9,Ang Buhay at mga Akda ni Rizal,13:00-14:00,M,AB-201,3,0,3,3,,,IT-3C
GEC 9,Ang Buhay at mga Akda ni Rizal,11:00-12:00,F,NB-303,3,0,3,3,,,IT-3C
GEC 9,Ang Buhay at mga Akda ni Rizal,08:00-09:00,M,NB-301,3,0,3,3,,,IT-3C
IT 124,Social and Professional Issues in Computing,15:00-16:00,F,AB-101,3,0,3,3,,,IT-4A
IT 124,Social and Professional Issues in Computing,14:00-15:00,M,NB-301,3,0,3,3,,,IT-4A
IT 124,Social and Professional Issues in Computing,13:00-14:00,F,LIB-CL,3,0,3,3,,,IT-4A
IT 125,Capstone Project and Research 2,14:00-16:00,TH,NB-203,2,0,2,2,,,IT-4A
IT 126,Cyber Security Principle,14:00-15:00,F,NB-302,3,0,3,3,,,IT-4A
IT 126,Cyber Security Principle,16:00-17:00,W,AB-201,3,0,3,3,,,IT-4A
IT 126,Cyber Security Principle,10:00-11:00,F,NB-302,3,0,3,3,,,IT-4A
IT 127,Global Professional Practice,09:00-10:00,M,AB-201,3,0,3,3,,,IT-4A
IT 127,Global Professional Practice,15:00-16:00,W,LIB-CL,3,0,3,3,,,IT-4A
IT 127,Global Professional Practice,08:00-09:00,W,NB-302,3,0,3,3,,,IT-4A
ITELECT 003,IT Elective 3*,15:00-17:00,M,NB-103,2,0,2,2,,,IT-4A
ITELECT 004,IT Elective 4*,11:00-12:00,M,NB-303,3,0,3,3,,,IT-4A
ITELECT 004,IT Elective 4*,09:00-10:00,W,NB-302,3,0,3,3,,,IT-4A
ITELECT 004,IT Elective 4*,16:00-17:00,F,AB-101,3,0,3,3,,,IT-4A
